Player Name,Team Name,Image URL,Gameweek 1,Gameweek 2,Gameweek 3,Gameweek 4,Gameweek 5,Gameweek 6,Gameweek 7,Gameweek 8,Gameweek 9,Gameweek 10,Gameweek 11,Gameweek 12,Gameweek 13,Gameweek 14,Gameweek 15,Gameweek 16,Gameweek 17,Gameweek 18,Gameweek 19,Gameweek 20,Gameweek 21,Gameweek 22,Gameweek 23,Gameweek 24,Gameweek 25,Gameweek 26,Gameweek 27,Gameweek 28,Gameweek 29,Gameweek 30,Gameweek 31,Gameweek 32,Gameweek 33,Gameweek 34,Gameweek 35,Gameweek 36,Gameweek 37,Gameweek 38
Puneet,AQUA-GAARD FC,black_image_url,76,143,173,236,278,355,404,450,545,600,635,703,756,802,845,909,964,1021,1075,1159,1220,1292,1358,1427,1501,1549,1604,1659,1674,1743,1811,1868,1966,2061,2123,2216,2337,2395
Sarabjot,PNW,black_image_url,78,122,172,252,290,368,420,477,561,620,642,712,745,816,838,886,940,992,1024,1112,1149,1204,1289,1360,1439,1487,1552,1608,1622,1676,1747,1803,1870,1979,2037,2106,2252,2332
Abhinav,ThuvaniFC,black_image_url,74,118,160,238,290,340,388,427,504,581,614,693,746,799,817,868,921,975,1008,1107,1166,1240,1290,1372,1450,1482,1560,1610,1629,1679,1710,1796,1884,1967,2045,2113,2256,2328
Alankrit,AMIGOS FC,black_image_url,74,156,193,266,314,377,434,473,553,611,638,717,777,840,869,920,977,1032,1070,1156,1204,1270,1349,1428,1507,1566,1641,1701,1717,1774,1816,1887,1955,2003,2061,2138,2254,2319
gaurav,CLUTCH GODS,black_image_url,60,125,158,235,279,351,399,450,527,597,626,665,695,767,801,874,924,983,1046,1118,1160,1234,1304,1374,1443,1489,1569,1621,1646,1710,1793,1854,1920,2019,2068,2115,2207,2279
Tanmay,.FC,black_image_url,71,135,173,267,309,394,421,474,559,620,635,694,736,792,831,874,950,998,1047,1120,1154,1197,1261,1341,1422,1497,1563,1631,1640,1711,1752,1820,1885,1965,2044,2104,2216,2270
Harsh,HAA HAA-LAND,black_image_url,60,111,165,248,290,356,407,451,536,586,624,667,720,781,809,826,895,933,970,1044,1095,1168,1226,1302,1396,1448,1523,1583,1613,1658,1709,1771,1821,1920,1983,2048,2155,2221
Arjun,MountTilltop,black_image_url,85,129,169,244,275,351,378,424,514,588,606,679,734,786,815,875,933,974,1025,1122,1159,1209,1294,1347,1407,1457,1548,1592,1612,1662,1712,1757,1833,1919,1990,2048,2125,2192
Eze,Sakapunch11,black_image_url,63,114,174,245,278,339,388,437,510,564,580,654,703,775,804,851,896,940,987,1075,1145,1196,1247,1326,1404,1441,1496,1540,1555,1603,1614,1668,1746,1817,1877,1967,2090,2132
Kushagra,Automatic Akanji,black_image_url,69,106,131,205,255,319,362,397,489,540,568,621,672,733,767,802,859,915,964,1048,1100,1150,1216,1261,1335,1386,1467,1529,1544,1615,1666,1741,1811,1882,1933,1985,2052,2106
Jaipal,LFC24,black_image_url,90,146,197,271,328,403,462,509,582,660,688,751,801,842,878,923,981,1016,1036,1097,1167,1228,1271,1328,1372,1413,1468,1517,1533,1581,1642,1708,1776,1840,1894,1977,2062,2098
akhil,xyz11,black_image_url,90,137,174,242,276,347,389,434,522,587,612,667,698,752,770,834,880,942,988,1064,1101,1174,1244,1290,1374,1422,1476,1547,1558,1592,1626,1700,1750,1852,1902,1940,2024,2073
Satyam,"Chilwell, serve cold",black_image_url,74,120,168,231,263,322,366,399,500,559,590,656,680,719,750,782,835,884,915,997,1050,1109,1211,1243,1289,1355,1414,1459,1471,1528,1580,1623,1713,1758,1822,1902,1998,2055
Tanmay,No Kane No Porrofit,black_image_url,76,112,172,251,285,333,395,452,532,585,617,700,730,798,831,867,918,977,1021,1090,1132,1178,1247,1319,1393,1431,1494,1533,1540,1582,1620,1706,1760,1803,1849,1922,1994,2033
Aayush,Mctomedy,black_image_url,87,141,186,253,288,360,393,431,486,562,601,651,699,736,776,788,844,874,923,973,1013,1058,1127,1206,1283,1319,1363,1411,1418,1459,1529,1597,1657,1728,1779,1856,1981,2027
Itachi,kadubeesanahalli,black_image_url,56,96,128,168,207,264,327,357,428,510,536,584,620,674,714,729,764,806,849,890,918,970,1016,1082,1179,1208,1295,1328,1340,1373,1401,1467,1523,1582,1625,1686,1775,1817
Sheda,Mancitysh,black_image_url,39,102,140,185,207,255,303,321,352,391,424,459,499,543,607,639,686,728,736,764,786,831,873,959,991,1041,1101,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136,1136
